,Date,Code,Buy,Sell
0,2013-01-02,USD,3.0686,3.1306
1,2013-01-03,USD,3.0393,3.1007
2,2013-01-04,USD,3.0878,3.1502
3,2013-01-07,USD,3.1158,3.1788
4,2013-01-08,USD,3.1272,3.1904
5,2013-01-09,USD,3.1177,3.1807
6,2013-01-10,USD,3.1161,3.1791
7,2013-01-11,USD,3.073,3.135
8,2013-01-14,USD,3.0505,3.1121
9,2013-01-15,USD,3.0553,3.1171
10,2013-01-16,USD,3.0579,3.1197
11,2013-01-17,USD,3.0781,3.1403
12,2013-01-18,USD,3.0565,3.1183
13,2013-01-21,USD,3.0901,3.1525
14,2013-01-22,USD,3.1027,3.1653000000000002
15,2013-01-23,USD,3.1046,3.1674
16,2013-01-24,USD,3.0952,3.1578
17,2013-01-25,USD,3.1077,3.1705
18,2013-01-28,USD,3.0653,3.1273
19,2013-01-29,USD,3.0908,3.1532
20,2013-01-30,USD,3.0807,3.1429
21,2013-01-31,USD,3.0675,3.1295
22,2013-02-01,USD,3.0655,3.1275
23,2013-02-04,USD,3.0369,3.0983
24,2013-02-05,USD,3.0443,3.1059
25,2013-02-06,USD,3.0493,3.1109
26,2013-02-07,USD,3.0542,3.116
27,2013-02-08,USD,3.0717,3.1337
28,2013-02-11,USD,3.0803,3.1425
29,2013-02-12,USD,3.0794,3.1416
30,2013-02-13,USD,3.0843,3.1467
31,2013-02-14,USD,3.058,3.1198
32,2013-02-15,USD,3.0933,3.1557
33,2013-02-18,USD,3.1014,3.164
34,2013-02-19,USD,3.1086,3.1714
35,2013-02-20,USD,3.0922,3.1546
36,2013-02-21,USD,3.0815,3.1437
37,2013-02-22,USD,3.1218,3.1848
38,2013-02-25,USD,3.1264,3.1896
39,2013-02-26,USD,3.0853,3.1477
40,2013-02-27,USD,3.143,3.2064
41,2013-02-28,USD,3.1488,3.2124
42,2013-03-01,USD,3.1381,3.2015000000000002
43,2013-03-04,USD,3.1572,3.221
44,2013-03-05,USD,3.1491,3.2127
45,2013-03-06,USD,3.1346,3.198
46,2013-03-07,USD,3.1517,3.2153
47,2013-03-08,USD,3.1315,3.1947
48,2013-03-11,USD,3.1546,3.2184
49,2013-03-12,USD,3.1538,3.2176
50,2013-03-13,USD,3.1432,3.2068
51,2013-03-14,USD,3.1708,3.2348
52,2013-03-15,USD,3.1699,3.2339
53,2013-03-18,USD,3.1466,3.2102
54,2013-03-19,USD,3.1729,3.2371
55,2013-03-20,USD,3.1802,3.2444
56,2013-03-21,USD,3.1853,3.2497
57,2013-03-22,USD,3.2113,3.2761
58,2013-03-25,USD,3.1863,3.2507
59,2013-03-26,USD,3.2029,3.2677
60,2013-03-27,USD,3.2093,3.2741
61,2013-03-28,USD,3.2401,3.3055
62,2013-03-29,USD,3.2242,3.2894
63,2013-04-02,USD,3.2264,3.2916
64,2013-04-03,USD,3.2323,3.2977
65,2013-04-04,USD,3.2279,3.2931
66,2013-04-05,USD,3.2258,3.291
67,2013-04-08,USD,3.1747,3.2389
68,2013-04-09,USD,3.1375,3.2009
69,2013-04-10,USD,3.1317,3.1949
70,2013-04-11,USD,3.1104,3.1732
71,2013-04-12,USD,3.1154,3.1784
72,2013-04-15,USD,3.1071,3.1699
73,2013-04-16,USD,3.1071,3.1699
74,2013-04-17,USD,3.103,3.1656
75,2013-04-18,USD,3.1065,3.1693
76,2013-04-19,USD,3.12,3.183
77,2013-04-22,USD,3.1002,3.1628
78,2013-04-23,USD,3.1249000000000002,3.1881
79,2013-04-24,USD,3.1467,3.2103
80,2013-04-25,USD,3.1593,3.2231
81,2013-04-26,USD,3.1583,3.2221
82,2013-04-29,USD,3.164,3.228
83,2013-04-30,USD,3.1328,3.196
84,2013-05-02,USD,3.1302,3.1934
85,2013-05-06,USD,3.1177,3.1807
86,2013-05-07,USD,3.1393,3.2027
87,2013-05-08,USD,3.1302,3.1934
88,2013-05-09,USD,3.1123,3.1751
89,2013-05-10,USD,3.12,3.183
90,2013-05-13,USD,3.1591,3.2229
91,2013-05-14,USD,3.1698,3.2338
92,2013-05-15,USD,3.1787,3.2429
93,2013-05-16,USD,3.2173,3.2823
94,2013-05-17,USD,3.2045,3.2693
95,2013-05-20,USD,3.2223,3.2873
96,2013-05-21,USD,3.2195,3.2845
97,2013-05-22,USD,3.2215,3.2865
98,2013-05-23,USD,3.1873,3.2517
99,2013-05-24,USD,3.2229,3.2881
100,2013-05-27,USD,3.2062,3.271
101,2013-05-28,USD,3.2101,3.2749
102,2013-05-29,USD,3.2087,3.2735
103,2013-05-31,USD,3.2387,3.3041
104,2013-06-03,USD,3.2623,3.3283
105,2013-06-04,USD,3.2548,3.3205999999999998
106,2013-06-05,USD,3.2059,3.2707
107,2013-06-06,USD,3.2153,3.2803
108,2013-06-07,USD,3.248,3.3136
109,2013-06-10,USD,3.2034,3.2682
110,2013-06-11,USD,3.2039,3.2687
111,2013-06-12,USD,3.1929,3.2575
112,2013-06-13,USD,3.1628,3.2266
113,2013-06-14,USD,3.1599,3.2237
114,2013-06-17,USD,3.1395,3.2029
115,2013-06-18,USD,3.1312,3.1944
116,2013-06-19,USD,3.1453,3.2089
117,2013-06-20,USD,3.1483,3.2119
118,2013-06-21,USD,3.2477,3.3133
119,2013-06-24,USD,3.2592,3.325
120,2013-06-25,USD,3.2779,3.3441
121,2013-06-26,USD,3.2695,3.3355
122,2013-06-27,USD,3.2916,3.358
123,2013-06-28,USD,3.2809,3.3471
124,2013-07-01,USD,3.3016,3.3682
125,2013-07-02,USD,3.297,3.3636
126,2013-07-03,USD,3.2998,3.3664
127,2013-07-04,USD,3.3018,3.3686
128,2013-07-05,USD,3.2736,3.3398
129,2013-07-08,USD,3.3215,3.3887
130,2013-07-09,USD,3.3084,3.3752
131,2013-07-10,USD,3.33,3.3971999999999998
