,Date,Code,MID
0,2013-01-02,USD,3.066
1,2013-01-03,USD,3.1005
2,2013-01-04,USD,3.17
3,2013-01-07,USD,3.1618
4,2013-01-08,USD,3.1457
5,2013-01-09,USD,3.1516
6,2013-01-10,USD,3.1121
7,2013-01-11,USD,3.089
8,2013-01-14,USD,3.0828
9,2013-01-15,USD,3.075
10,2013-01-16,USD,3.1097
11,2013-01-17,USD,3.0853
12,2013-01-18,USD,3.0925
13,2013-01-21,USD,3.1351
14,2013-01-22,USD,3.1341
15,2013-01-23,USD,3.1195
16,2013-01-24,USD,3.1503
17,2013-01-25,USD,3.1186
18,2013-01-28,USD,3.1074
19,2013-01-29,USD,3.1229
20,2013-01-30,USD,3.0938
21,2013-01-31,USD,3.0874
22,2013-02-01,USD,3.0744
23,2013-02-04,USD,3.0563
24,2013-02-05,USD,3.0831
25,2013-02-06,USD,3.0868
26,2013-02-07,USD,3.0886
27,2013-02-08,USD,3.1056
28,2013-02-11,USD,3.0991
29,2013-02-12,USD,3.1159
30,2013-02-13,USD,3.1012
31,2013-02-14,USD,3.1209
32,2013-02-15,USD,3.1398
33,2013-02-18,USD,3.141
34,2013-02-19,USD,3.136
35,2013-02-20,USD,3.1002
36,2013-02-21,USD,3.1633
37,2013-02-22,USD,3.1443
38,2013-02-25,USD,3.1412
39,2013-02-26,USD,3.1733000000000002
40,2013-02-27,USD,3.1841
41,2013-02-28,USD,3.1679
42,2013-03-01,USD,3.1769
43,2013-03-04,USD,3.1837
44,2013-03-05,USD,3.1665
45,2013-03-06,USD,3.166
46,2013-03-07,USD,3.1808
47,2013-03-08,USD,3.169
48,2013-03-11,USD,3.1828
49,2013-03-12,USD,3.1887
50,2013-03-13,USD,3.1863
51,2013-03-14,USD,3.2
52,2013-03-15,USD,3.1868
53,2013-03-18,USD,3.2015000000000002
54,2013-03-19,USD,3.2055
55,2013-03-20,USD,3.2169
56,2013-03-21,USD,3.2387
57,2013-03-22,USD,3.2361
58,2013-03-25,USD,3.195
59,2013-03-26,USD,3.2427
60,2013-03-27,USD,3.2635
61,2013-03-28,USD,3.2773
62,2013-03-29,USD,3.259
63,2013-04-02,USD,3.2552
64,2013-04-03,USD,3.2693
65,2013-04-04,USD,3.275
66,2013-04-05,USD,3.2358000000000002
67,2013-04-08,USD,3.1893
68,2013-04-09,USD,3.1696
69,2013-04-10,USD,3.1405
70,2013-04-11,USD,3.1382
71,2013-04-12,USD,3.1537
72,2013-04-15,USD,3.1502
73,2013-04-16,USD,3.1559
74,2013-04-17,USD,3.1159
75,2013-04-18,USD,3.1529
76,2013-04-19,USD,3.1409
77,2013-04-22,USD,3.1448
78,2013-04-23,USD,3.1811
79,2013-04-24,USD,3.1823
80,2013-04-25,USD,3.1792
81,2013-04-26,USD,3.1943
82,2013-04-29,USD,3.1712
83,2013-04-30,USD,3.1721
84,2013-05-02,USD,3.1492
85,2013-05-06,USD,3.1646
86,2013-05-07,USD,3.1767
87,2013-05-08,USD,3.1609
88,2013-05-09,USD,3.1392
89,2013-05-10,USD,3.1861
90,2013-05-13,USD,3.2051
91,2013-05-14,USD,3.1998
92,2013-05-15,USD,3.234
93,2013-05-16,USD,3.2521
94,2013-05-17,USD,3.252
95,2013-05-20,USD,3.238
96,2013-05-21,USD,3.249
97,2013-05-22,USD,3.2322
98,2013-05-23,USD,3.2587
99,2013-05-24,USD,3.24
100,2013-05-27,USD,3.2416
101,2013-05-28,USD,3.2465
102,2013-05-29,USD,3.2831
103,2013-05-31,USD,3.2953
104,2013-06-03,USD,3.2865
105,2013-06-04,USD,3.2524
106,2013-06-05,USD,3.2421
107,2013-06-06,USD,3.2564
108,2013-06-07,USD,3.2545
109,2013-06-10,USD,3.221
110,2013-06-11,USD,3.2201
111,2013-06-12,USD,3.2002
112,2013-06-13,USD,3.2
113,2013-06-14,USD,3.1654
114,2013-06-17,USD,3.1719
115,2013-06-18,USD,3.1682
116,2013-06-19,USD,3.1777
117,2013-06-20,USD,3.2693
118,2013-06-21,USD,3.2743
119,2013-06-24,USD,3.3137
120,2013-06-25,USD,3.284
121,2013-06-26,USD,3.3239
122,2013-06-27,USD,3.3241
123,2013-06-28,USD,3.3175
124,2013-07-01,USD,3.321
125,2013-07-02,USD,3.3222
126,2013-07-03,USD,3.3516
127,2013-07-04,USD,3.3246
128,2013-07-05,USD,3.3245
129,2013-07-08,USD,3.3576
130,2013-07-09,USD,3.3588
131,2013-07-10,USD,3.3724
132,2013-07-11,USD,3.3225
133,2013-07-12,USD,3.3201
134,2013-07-15,USD,3.2955
135,2013-07-16,USD,3.2735
136,2013-07-17,USD,3.241
137,2013-07-18,USD,3.2362
138,2013-07-19,USD,3.2348
139,2013-07-22,USD,3.2142
140,2013-07-23,USD,3.2001
141,2013-07-24,USD,3.18
142,2013-07-25,USD,3.2143
143,2013-07-26,USD,3.1831
144,2013-07-29,USD,3.1859
145,2013-07-30,USD,3.1798
146,2013-07-31,USD,3.1929
147,2013-08-01,USD,3.1961
148,2013-08-02,USD,3.2201
149,2013-08-05,USD,3.1771
150,2013-08-06,USD,3.1744
151,2013-08-07,USD,3.1725
152,2013-08-08,USD,3.1503
153,2013-08-09,USD,3.1336
154,2013-08-12,USD,3.151
155,2013-08-13,USD,3.1489
156,2013-08-14,USD,3.1643
157,2013-08-16,USD,3.1665
158,2013-08-19,USD,3.1873
159,2013-08-20,USD,3.1761
160,2013-08-21,USD,3.1698
161,2013-08-22,USD,3.1811
162,2013-08-23,USD,3.1673
163,2013-08-26,USD,3.1658
164,2013-08-27,USD,3.1849
165,2013-08-28,USD,3.184
166,2013-08-29,USD,3.2269
167,2013-08-30,USD,3.2209
168,2013-09-02,USD,3.2164
169,2013-09-03,USD,3.2433
170,2013-09-04,USD,3.2387
171,2013-09-05,USD,3.2463
172,2013-09-06,USD,3.2732
173,2013-09-09,USD,3.2357
174,2013-09-10,USD,3.2181
175,2013-09-11,USD,3.1955
176,2013-09-12,USD,3.1782
177,2013-09-13,USD,3.1696
178,2013-09-16,USD,3.1435
179,2013-09-17,USD,3.1552
180,2013-09-18,USD,3.1689
181,2013-09-19,USD,3.0833
182,2013-09-20,USD,3.1152
183,2013-09-23,USD,3.126
184,2013-09-24,USD,3.1338
185,2013-09-25,USD,3.1234
186,2013-09-26,USD,3.1277
187,2013-09-27,USD,3.1328
188,2013-09-30,USD,3.1227
189,2013-10-01,USD,3.117
190,2013-10-02,USD,3.1212
191,2013-10-03,USD,3.0951
192,2013-10-04,USD,3.0902
193,2013-10-07,USD,3.0976
194,2013-10-08,USD,3.0873
195,2013-10-09,USD,3.1057
196,2013-10-10,USD,3.0994
197,2013-10-11,USD,3.085
198,2013-10-14,USD,3.0936
199,2013-10-15,USD,3.0893
200,2013-10-16,USD,3.0854
201,2013-10-17,USD,3.0625
202,2013-10-18,USD,3.0506
203,2013-10-21,USD,3.062
204,2013-10-22,USD,3.0564
205,2013-10-23,USD,3.0385
206,2013-10-24,USD,3.0323
207,2013-10-25,USD,3.0326
208,2013-10-28,USD,3.0271
209,2013-10-29,USD,3.0436
210,2013-10-30,USD,3.0433
211,2013-10-31,USD,3.0507
212,2013-11-04,USD,3.0975
213,2013-11-05,USD,3.0981
214,2013-11-06,USD,3.0896
215,2013-11-07,USD,3.0844
216,2013-11-08,USD,3.1133
217,2013-11-12,USD,3.1448
218,2013-11-13,USD,3.1358
219,2013-11-14,USD,3.115
220,2013-11-15,USD,3.1172
221,2013-11-18,USD,3.0953
222,2013-11-19,USD,3.0925
223,2013-11-20,USD,3.0947
224,2013-11-21,USD,3.1227
225,2013-11-22,USD,3.1077
226,2013-11-25,USD,3.1019
227,2013-11-26,USD,3.0945
228,2013-11-27,USD,3.0899
229,2013-11-28,USD,3.0872
230,2013-11-29,USD,3.0846
231,2013-12-02,USD,3.0965
232,2013-12-03,USD,3.0973
233,2013-12-04,USD,3.0916
234,2013-12-05,USD,3.087
235,2013-12-06,USD,3.0673
236,2013-12-09,USD,3.0534
237,2013-12-10,USD,3.0425
238,2013-12-11,USD,3.0386
239,2013-12-12,USD,3.0415
240,2013-12-13,USD,3.0432
241,2013-12-16,USD,3.035
242,2013-12-17,USD,3.036
243,2013-12-18,USD,3.0393
244,2013-12-19,USD,3.049
245,2013-12-20,USD,3.0525
246,2013-12-23,USD,3.0443
247,2013-12-24,USD,3.0346
248,2013-12-27,USD,3.0105
249,2013-12-30,USD,3.018
250,2013-12-31,USD,3.012
251,2014-01-02,USD,3.0315
252,2014-01-03,USD,3.0517
253,2014-01-07,USD,3.0688
254,2014-01-08,USD,3.0717
255,2014-01-09,USD,3.0695
256,2014-01-10,USD,3.07
257,2014-01-13,USD,3.045
258,2014-01-14,USD,3.04
259,2014-01-15,USD,3.0495
260,2014-01-16,USD,3.0566
261,2014-01-17,USD,3.0596
262,2014-01-20,USD,3.068
263,2014-01-21,USD,3.0763
264,2014-01-22,USD,3.0761
265,2014-01-23,USD,3.0559
266,2014-01-24,USD,3.0727
267,2014-01-27,USD,3.0884
268,2014-01-28,USD,3.0635
269,2014-01-29,USD,3.0829
270,2014-01-30,USD,3.1166
271,2014-01-31,USD,3.1288
272,2014-02-03,USD,3.137
